product_name,product_rating,product_current_price,product_url
Frog Detective: The Entire Mystery Nintendo Switch Game,,£34.99,https://www.argos.co.uk/product/5827312
Gothic Classic Khorinis Saga Nintendo Switch Game,,£29.99,https://www.argos.co.uk/product/5813955
The Smurfs Dreams Nintendo Switch Game Pre-Order,,£44.99,https://www.argos.co.uk/product/5813797
The Smurfs Dreams PS5 Game Pre-Order,,£44.99,https://www.argos.co.uk/product/5813773
Funko Fusion Nintendo Switch Game Pre-Order,,£42.99,https://www.argos.co.uk/product/5791716
Boardwalk Arcade 2 Nintendo Switch Game Pre-Order,,£25.99,https://www.argos.co.uk/product/5665440
Wild Bastards Nintendo Switch Game,,£31.99,https://www.argos.co.uk/product/5665347
Ugly Nintendo Switch Game,,£33.99,https://www.argos.co.uk/product/5027301
Everdream Valley Nintendo Switch Game,,£30.99,https://www.argos.co.uk/product/5025767
Blazing Strike Nintendo Switch Game Pre-Order,,£30.99,https://www.argos.co.uk/product/4883955
Leo the Firefighter Cat Nintendo Switch Game,,£23.99,https://www.argos.co.uk/product/4883711
Pokemon Legends Z-A Nintendo Switch Game Pre-Order,,£49.99,https://www.argos.co.uk/product/4881861
Outer Wilds: Archaeologist Edition Nintendo Switch Game,,£32.99,https://www.argos.co.uk/product/4881816
The Last Faith Nintendo Switch Game,,£30.99,https://www.argos.co.uk/product/4848196
Citizen Sleeper Nintendo Switch Game,,£30.99,https://www.argos.co.uk/product/4843270
House Flipper: Pets Edition Nintendo Switch Game,,£31.99,https://www.argos.co.uk/product/4658355
Lunar Lander Beyond Nintendo Switch Game,,£26.99,https://www.argos.co.uk/product/4657703
Pool Party Nintendo Switch Game,,£19.99,https://www.argos.co.uk/product/4650748
Morbid The Lords of Ire Nintendo Switch Game,,£26.99,https://www.argos.co.uk/product/4650607
Farming Simulator Kids Nintendo Switch Game Pre-Order,,£25.99,https://www.argos.co.uk/product/4650009
You Suck At Parking Nintendo Switch Game,,£13.99,https://www.argos.co.uk/product/4633813
Pocket Bravery Nintendo Switch Game Pre-Order,,£25.99,https://www.argos.co.uk/product/4633693
CATAN - Console Edition Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4567570
Totally Spies - Cyber Mission Nintendo Switch Game Pre-Order,,£39.99,https://www.argos.co.uk/product/4338400
My Fantastic Ranch Nintendo Switch Game,,£18.99,https://www.argos.co.uk/product/4238775
DAVE THE DIVER – Anniversary Edition Nintendo Switch Game,,£38.99,https://www.argos.co.uk/product/4193542
Monster Jam Showdown Nintendo Switch Game,,£44.99,https://www.argos.co.uk/product/4167578
SCHiM Nintendo Switch Game Pre-Order,,£29.99,https://www.argos.co.uk/product/4162205
Darksiders Genesis Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4099536
The Doinksoft Collection Nintendo Switch Game,,£29.99,https://www.argos.co.uk/product/4090614
UNO Legacy Edition Nintendo Switch Game,,£14.99,https://www.argos.co.uk/product/4077589
Tomb Raider I-III Remastered Nintendo Switch Game Pre-Order,,£29.99,https://www.argos.co.uk/product/4074496
Slave Zero X: Calamity Edition Nintendo Switch Game,,£42.99,https://www.argos.co.uk/product/3445507
Seed Of Life Nintendo Switch Game,,£26.99,https://www.argos.co.uk/product/3445466
VED Nintendo Switch Game Pre-Order,,£18.99,https://www.argos.co.uk/product/3440069
Atari Mania Nintendo Switch Game,,£31.99,https://www.argos.co.uk/product/3426234
